Designator,Footprint,Quantity,Value,LCSC Part #
BT1,BatteryHolder_Keystone_1042_1x18650,1,1042,
"C1, C11, C2, C4, C6, C8",0805,6,0.1uF,
C10,0805,1,100nF,
"C3, C9",0805,2,10uF,
C5,0805,1,1uF,
C7,0805,1,4.7uF,
"D2, D5, D6, D7",0805,4,LED,
D3,0805,1,D_Schottky,
J1,SAMTEC_SMA-J-P-X-RA-TH1,1,SMA-J-P-X-RA-TH1,
J2,"TerminalBlock_Phoenix_MKDS-1,5-4-5.08_1x04_P5.08mm_Horizontal",1,ADC_INPUT,
J3,GCT_USB4110GFA,1,USB4110GFA,
J6,PinHeader_1x04_P2.54mm_Vertical,1,I2C PORT,
J7,PinHeader_1x04_P2.54mm_Vertical,1,UART,
J8,PinHeader_1x06_P2.54mm_Vertical,1,SPI,
JP1,SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm,1,Jumper_2_Open,
Q1,SOT-23,1,Q_PMOS_DGS,
"R1, R12, R13, R4, R5, R6, R8",0805,7,10k,
"R10, R15",0805,2,5.1k,
"R11, R14, R7, R9",0805,4,110,
SW1,SW_TS04-66-43-BK-100-SMT,1,BOOT,
SW2,SW_TS04-66-43-BK-100-SMT,1,RESET,
U1,SOT230P700X180-4N,1,LDL1117S33R,
U2,XCVR_ESP32-S3-WROOM-1-N4R2,1,ESP32-S3-WROOM-1-N4R2,
U3,SOP50P490X110-10N,1,ADS1015IDGS,
U5,XCVR_RFM95W-868S2,1,RFM95CW,
U6,SON50P200X200X80-9N,1,MAX17048G_T10,
U7,SOT95P280X145-6N,1,USBLC6-2SC6,
